Price,Brand,Model,Reg_Date,Km,Capacity,Type
18500000.0,honda,wave,2020.0,20000.0,100 - 175 cc,xe số
31500000.0,honda,sonic,2019.0,12000.0,100 - 175 cc,xe số
39500000.0,honda,vario,2019.0,22222.0,100 - 175 cc,tay ga
25800000.0,yamaha,exciter,2019.0,19000.0,100 - 175 cc,tay côn/moto
25500000.0,honda,air blade,2017.0,74000.0,100 - 175 cc,tay ga
38000000.0,brixton,bx 150,2018.0,10000.0,100 - 175 cc,tay côn/moto
21800000.0,piaggio,vespa,2014.0,25000.0,100 - 175 cc,tay ga
23500000.0,yamaha,grande,2017.0,35000.0,100 - 175 cc,tay ga
86000000.0,piaggio,gts,2019.0,9000.0,100 - 175 cc,tay ga
28000000.0,honda,sonic,2019.0,19000.0,100 - 175 cc,tay côn/moto
52000000.0,piaggio,sprint,2017.0,11000.0,100 - 175 cc,tay ga
15500000.0,honda,wave,2016.0,29870.0,50 - 100 cc,xe số
17000000.0,honda,wave,2021.0,5020.0,100 - 175 cc,xe số
19500000.0,honda,winner x,2020.0,14000.0,100 - 175 cc,tay côn/moto
23800000.0,yamaha,janus,2020.0,10000.0,100 - 175 cc,tay ga
41000000.0,piaggio,liberty,2016.0,18500.0,100 - 175 cc,tay ga
38500000.0,honda,air blade,2021.0,4000.0,100 - 175 cc,tay ga
12000000.0,honda,blade,2020.0,10000.0,100 - 175 cc,xe số
86500000.0,honda,rebel,2020.0,4000.0,trên 175 cc,tay côn/moto
79000000.0,honda,sh,2022.0,5000.0,100 - 175 cc,tay ga
21000000.0,yamaha,exciter,2018.0,71000.0,100 - 175 cc,tay côn/moto
29000000.0,honda,future,2019.0,10000.0,100 - 175 cc,xe số
29800000.0,honda,air blade,2017.0,12345.0,100 - 175 cc,tay ga
29800000.0,honda,vision,2019.0,8000.0,100 - 175 cc,tay ga
68000000.0,honda,sh,2022.0,5.0,100 - 175 cc,tay ga
12800000.0,honda,wave,2015.0,12345.0,100 - 175 cc,xe số
25500000.0,honda,vision,2017.0,22222.0,100 - 175 cc,tay ga
41000000.0,gpx,legend 200,2021.0,8000.0,trên 175 cc,tay côn/moto
10000000.0,honda,winner x,2021.0,20000.0,100 - 175 cc,tay côn/moto
83000000.0,piaggio,sprint,2021.0,6000.0,100 - 175 cc,tay ga
65000000.0,honda,click,2017.0,12000.0,100 - 175 cc,tay ga
32000000.0,honda,vision,2020.0,5000.0,100 - 175 cc,tay ga
22500000.0,yamaha,nvx,2018.0,10000.0,100 - 175 cc,tay ga
13800000.0,honda,lead,2017.0,60000.0,100 - 175 cc,tay ga
20800000.0,honda,lead,2013.0,38100.0,100 - 175 cc,tay ga
22800000.0,suzuki,sport / xipo,2023.0,100.0,100 - 175 cc,tay côn/moto
14800000.0,honda,wave,2020.0,24000.0,100 - 175 cc,xe số
109000000.0,honda,sh,2023.0,3000.0,100 - 175 cc,tay ga
5600000.0,honda,wave,2011.0,25000.0,100 - 175 cc,xe số
65000000.0,suzuki,gz,2018.0,3800.0,100 - 175 cc,tay côn/moto
15000000.0,piaggio,vespa,2013.0,20854.0,100 - 175 cc,tay ga
25800000.0,honda,air blade,2016.0,12345.0,100 - 175 cc,tay ga
16900000.0,honda,vision,2013.0,33000.0,100 - 175 cc,tay ga
14000000.0,honda,future,2016.0,20000.0,100 - 175 cc,xe số
35000000.0,honda,lead,2022.0,9000.0,100 - 175 cc,tay ga
25000000.0,brixton,bx 150,2018.0,10000.0,100 - 175 cc,tay côn/moto
70000000.0,piaggio,gts,2018.0,8000.0,100 - 175 cc,tay ga
49000000.0,honda,sh mode,2017.0,8000.0,100 - 175 cc,tay ga
11800000.0,yamaha,luvias,2013.0,38500.0,100 - 175 cc,tay ga
9500000.0,honda,wave,2007.0,30000.0,50 - 100 cc,xe số
6000000.0,suzuki,hayate,2013.0,60000.0,100 - 175 cc,tay ga
65500000.0,honda,cb,2020.0,8000.0,100 - 175 cc,tay côn/moto
42000000.0,honda,vario,2020.0,70000.0,100 - 175 cc,tay ga
28000000.0,piaggio,vespa,2015.0,49000.0,100 - 175 cc,tay ga
29800000.0,honda,air blade,2016.0,12345.0,100 - 175 cc,tay ga
40900000.0,honda,vario,2020.0,18000.0,100 - 175 cc,tay ga
43500000.0,honda,vario,2022.0,11.0,100 - 175 cc,tay ga
59000000.0,piaggio,vespa,2019.0,12400.0,100 - 175 cc,tay ga
15300000.0,honda,wave,2018.0,21000.0,100 - 175 cc,xe số
25500000.0,honda,air blade,2016.0,20000.0,100 - 175 cc,tay ga
17900000.0,suzuki,raider,2016.0,35000.0,100 - 175 cc,tay côn/moto
22800000.0,yamaha,janus,2018.0,15000.0,100 - 175 cc,tay ga
21000000.0,yamaha,janus,2019.0,18200.0,100 - 175 cc,tay ga
55000000.0,yamaha,r,2021.0,652.0,100 - 175 cc,tay côn/moto
50000000.0,yamaha,mt,2021.0,1000.0,100 - 175 cc,tay côn/moto
70000000.0,piaggio,gts,2019.0,8000.0,100 - 175 cc,tay ga
20000000.0,honda,winner x,2022.0,7900.0,100 - 175 cc,tay côn/moto
24900000.0,honda,wave,2022.0,1000.0,100 - 175 cc,xe số
32000000.0,honda,air blade,2016.0,15000.0,100 - 175 cc,tay ga
4500000.0,yamaha,jupiter,2010.0,15000.0,100 - 175 cc,xe số
19500000.0,honda,winner,2017.0,30000.0,100 - 175 cc,xe số
39000000.0,honda,vario,2020.0,40000.0,100 - 175 cc,tay ga
46500000.0,honda,sh,2014.0,16000.0,100 - 175 cc,tay ga
24900000.0,honda,air blade,2015.0,26000.0,100 - 175 cc,tay ga
12500000.0,honda,vision,2016.0,20000.0,100 - 175 cc,tay ga
43000000.0,piaggio,primavera,2017.0,8000.0,100 - 175 cc,tay ga
3500000.0,sym,attila,2013.0,35000.0,100 - 175 cc,tay ga
5000000.0,yamaha,nouvo,2010.0,60000.0,100 - 175 cc,tay ga
27000000.0,yamaha,freego,2022.0,47000.0,100 - 175 cc,tay ga
94000000.0,honda,rebel,2020.0,5000.0,trên 175 cc,tay côn/moto
19999999.0,honda,lead,2015.0,41000.0,100 - 175 cc,tay ga
45000000.0,honda,air blade,2021.0,14000.0,100 - 175 cc,tay ga
32000000.0,suzuki,satria,2020.0,32000.0,100 - 175 cc,tay côn/moto
6800000.0,yamaha,luvias,2013.0,28282.0,100 - 175 cc,tay ga
9900000.0,yamaha,nouvo,2013.0,33000.0,100 - 175 cc,tay ga
23800000.0,honda,wave,2021.0,12345.0,100 - 175 cc,xe số
14500000.0,honda,vision,2013.0,22222.0,100 - 175 cc,tay ga
52800000.0,honda,sh mode,2018.0,9000.0,100 - 175 cc,tay ga
95000000.0,honda,sh,2022.0,3.0,100 - 175 cc,tay ga
10800000.0,yamaha,luvias,2014.0,28282.0,100 - 175 cc,tay ga
18860000.0,honda,wave,2020.0,11000.0,100 - 175 cc,xe số
32500000.0,honda,sonic,2018.0,6868.0,100 - 175 cc,tay côn/moto
49500000.0,honda,winner,2017.0,12000.0,100 - 175 cc,tay côn/moto
68000000.0,honda,sh,2022.0,4353.0,100 - 175 cc,tay ga
8500000.0,honda,wave,2003.0,30000.0,50 - 100 cc,xe số
89000000.0,honda,rebel,2018.0,8000.0,100 - 175 cc,tay côn/moto
22500000.0,piaggio,lx,2014.0,18000.0,100 - 175 cc,tay ga
3300000.0,sym,attila,2012.0,15000.0,100 - 175 cc,tay ga
23500000.0,honda,air blade,2015.0,18000.0,100 - 175 cc,tay ga
18800000.0,honda,vision,2016.0,19000.0,100 - 175 cc,tay ga
8600000.0,yamaha,jupiter,2012.0,255556.0,100 - 175 cc,xe số
46000000.0,honda,vario,2020.0,8788.0,100 - 175 cc,tay ga
8800000.0,piaggio,fly,2012.0,22000.0,100 - 175 cc,tay ga
