Price,Brand,Model,Reg_Date,Km,Condition,Capacity,Type
60000000.0,Piaggio,GTS,2018.0,8000.0,Đã sử dụng,100 - 175 cc,Tay ga
21800000.0,Honda,Future,2005.0,1.0,Đã sử dụng,100 - 175 cc,Xe số
37500000.0,Honda,SH Mode,2014.0,32000.0,Đã sử dụng,50 - 100 cc,Tay ga
40000000.0,Honda,Sonic,2019.0,1000.0,Đã sử dụng,100 - 175 cc,Tay côn/Moto
13500000.0,Yamaha,Mio,2012.0,9000.0,Đã sử dụng,100 - 175 cc,Tay ga
25800000.0,Honda,Vision,2018.0,9000.0,Đã sử dụng,100 - 175 cc,Tay ga
38000000.0,Yamaha,Dòng khác,1999.0,65000.0,Đã sử dụng,100 - 175 cc,Tay côn/Moto
8500000.0,Yamaha,Nouvo,2014.0,3838.0,Đã sử dụng,100 - 175 cc,Tay ga
24000000.0,Honda,PCX,2012.0,5.0,Đã sử dụng,100 - 175 cc,Tay ga
57000000.0,Piaggio,GTS,2017.0,8000.0,Đã sử dụng,100 - 175 cc,Tay ga
67000000.0,Piaggio,Sprint,2020.0,10000.0,Đã sử dụng,100 - 175 cc,Tay ga
16300000.0,Honda,Air Blade,2010.0,1.0,Đã sử dụng,100 - 175 cc,Tay ga
2200000.0,Hãng khác,Dòng khác,2023.0,123.0,Đã sử dụng,100 - 175 cc,Xe số
6500000.0,SYM,Joyride,2011.0,100.0,Đã sử dụng,50 - 100 cc,Tay ga
28500000.0,Honda,Air Blade,2015.0,1800.0,Đã sử dụng,100 - 175 cc,Tay ga
25000000.0,Honda,Lead,2017.0,30000.0,Đã sử dụng,100 - 175 cc,Tay ga
35500000.0,Honda,Vario,2019.0,19000.0,Đã sử dụng,100 - 175 cc,Tay ga
46500000.0,Honda,Vario,2020.0,8000.0,Đã sử dụng,100 - 175 cc,Tay ga
15800000.0,Honda,Future,2015.0,25000.0,Đã sử dụng,100 - 175 cc,Xe số
25000000.0,Honda,Spacy,2000.0,2345.0,Đã sử dụng,100 - 175 cc,Tay ga
28000000.0,Honda,Wave,2022.0,1000.0,Đã sử dụng,100 - 175 cc,Xe số
29000000.0,Suzuki,Sport / Xipo,2000.0,123.0,Đã sử dụng,100 - 175 cc,Tay côn/Moto
2000000.0,Honda,Wave,2012.0,23541.0,Đã sử dụng,100 - 175 cc,Xe số
11000000.0,Honda,Air Blade,2008.0,1234.0,Đã sử dụng,50 - 100 cc,Tay ga
13000000.0,Piaggio,Vespa,2012.0,100000.0,Đã sử dụng,100 - 175 cc,Tay ga
120000000.0,Suzuki,Sport / Xipo,,50000.0,Đã sử dụng,100 - 175 cc,Tay côn/Moto
35000000.0,Suzuki,Satria,2019.0,5.0,Đã sử dụng,100 - 175 cc,Tay côn/Moto
40000000.0,Piaggio,Sprint,2014.0,8000.0,Đã sử dụng,100 - 175 cc,Tay ga
45000000.0,Piaggio,Sprint,2015.0,10000.0,Đã sử dụng,100 - 175 cc,Tay ga
18800000.0,Honda,Vision,2012.0,23000.0,Đã sử dụng,100 - 175 cc,Tay ga
26500000.0,Honda,Air Blade,2016.0,9000.0,Đã sử dụng,100 - 175 cc,Tay côn/Moto
9000000.0,Piaggio,Vespa,2011.0,100000.0,Đã sử dụng,100 - 175 cc,Tay ga
6500000.0,Honda,Wave,2003.0,1234.0,Đã sử dụng,Dưới 50 cc,Xe số
5000000.0,BMW,C400X,2012.0,120000.0,Đã sử dụng,100 - 175 cc,Xe số
12000000.0,BMW,Dòng khác,2022.0,100.0,Đã sử dụng,50 - 100 cc,Tay côn/Moto
7000000.0,SYM,Attila,2013.0,1234.0,Đã sử dụng,100 - 175 cc,Tay ga
8500000.0,Yamaha,Sirius,2015.0,50000.0,Đã sử dụng,100 - 175 cc,Xe số
